MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,target
60.0,RL,65.0,8450.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,7.0,5.0,2003.0,2003.0,BrkFace,196.0,Gd,TA,Gd,TA,No,706.0,0.0,150.0,856.0,Ex,Y,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,0.0,2003.0,RFn,2.0,548.0,Y,0.0,61.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2008.0,208500.0
20.0,RL,80.0,9600.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,1Fam,6.0,8.0,1976.0,1976.0,None,0.0,TA,TA,Gd,TA,Gd,978.0,0.0,284.0,1262.0,Ex,Y,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,TA,6.0,1.0,1976.0,RFn,2.0,460.0,Y,298.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2007.0,181500.0
60.0,RL,68.0,11250.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,7.0,5.0,2001.0,2002.0,BrkFace,162.0,Gd,TA,Gd,TA,Mn,486.0,0.0,434.0,920.0,Ex,Y,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,1.0,2001.0,RFn,2.0,608.0,Y,0.0,42.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,2008.0,223500.0
70.0,RL,60.0,9550.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,7.0,5.0,1915.0,1970.0,None,0.0,TA,TA,TA,Gd,No,216.0,0.0,540.0,756.0,Gd,Y,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,7.0,1.0,1998.0,Unf,3.0,642.0,Y,0.0,35.0,272.0,0.0,0.0,0.0,,,,0.0,2.0,2006.0,140000.0
60.0,RL,84.0,14260.0,Pave,,IR1,Lvl,AllPub,FR2,Gtl,1Fam,8.0,5.0,2000.0,2000.0,BrkFace,350.0,Gd,TA,Gd,TA,Av,655.0,0.0,490.0,1145.0,Ex,Y,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,1.0,2000.0,RFn,3.0,836.0,Y,192.0,84.0,0.0,0.0,0.0,0.0,,,,0.0,12.0,2008.0,250000.0
50.0,RL,85.0,14115.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,5.0,5.0,1993.0,1995.0,None,0.0,TA,TA,Gd,TA,No,732.0,0.0,64.0,796.0,Ex,Y,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,TA,5.0,0.0,1993.0,Unf,2.0,480.0,Y,40.0,30.0,0.0,320.0,0.0,0.0,,MnPrv,Shed,700.0,10.0,2009.0,143000.0
20.0,RL,75.0,10084.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,8.0,5.0,2004.0,2005.0,Stone,186.0,Gd,TA,Ex,TA,Av,1369.0,0.0,317.0,1686.0,Ex,Y,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,2004.0,RFn,2.0,636.0,Y,255.0,57.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2007.0,307000.0
60.0,RL,,10382.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,7.0,6.0,1973.0,1973.0,Stone,240.0,TA,TA,Gd,TA,Mn,859.0,32.0,216.0,1107.0,Ex,Y,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,2.0,1973.0,RFn,2.0,484.0,Y,235.0,204.0,228.0,0.0,0.0,0.0,,,Shed,350.0,11.0,2009.0,200000.0
50.0,RM,51.0,6120.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,7.0,5.0,1931.0,1950.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,952.0,952.0,Gd,Y,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,TA,8.0,2.0,1931.0,Unf,2.0,468.0,Y,90.0,0.0,205.0,0.0,0.0,0.0,,,,0.0,4.0,2008.0,129900.0
190.0,RL,50.0,7420.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,2fmCon,5.0,6.0,1939.0,1950.0,None,0.0,TA,TA,TA,TA,No,851.0,0.0,140.0,991.0,Ex,Y,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,TA,5.0,2.0,1939.0,RFn,1.0,205.0,Y,0.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2008.0,118000.0
